user_id,organization_id,organization_name,Duration,programming_track,language_skills,required_language,experience_years,Feedback,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism,Communication_Skills,Presentation_Skills
21,21,Nexus Tech Group,3 months,Back_end,"Python, .NET, Java","Python, .NET, PHP",2,2,4,3,2,3,3,2,2
22,22,Pixel Perfect Org,6 months,Back_end,"PHP, Python","Node.js, Laravel, PHP",5,4,5,5,3,4,1,3,4
23,23,Logic Gate Charity,5 months,Front_end,"JavaScript, CSS, Tailwind CSS",JavaScript,4,4,4,3,4,4,2,4,4
24,24,Smart Solutions Squad,2 months,Back_end,"Express, Node.js, PHP","Node.js, PHP",1,3,3,3,2,2,2,2,1
25,25,DevOps Builders,3 months,Database,"PostgreSQL, MongoDB, MySQL",PostgreSQL,3,3,2,3,1,3,3,1,2
26,26,Database Ninjas,3 months,Database,"MongoDB, MySQL",MySQL,2,2,2,4,2,3,4,2,1
27,27,AI Visionaries,6 months,Front_end,React,"Tailwind CSS, React",5,3,5,3,4,5,2,4,5
28,28,Web Flow Founders,5 months,Front_end,React,"React, CSS",4,4,4,3,4,4,3,4,4
29,29,Byte Sized Impact,2 months,Front_end,"React, CSS, JavaScript","CSS, JavaScript, Tailwind CSS",1,2,3,2,2,3,3,2,3
30,30,Infinite Loop Org,4 months,Database,"PostgreSQL, MongoDB, Oracle",MongoDB,3,3,3,4,2,3,1,2,2
31,31,Tech Talents,6 months,Database,MySQL,"MySQL, PostgreSQL",5,5,3,5,3,4,3,3,3
32,32,Script Masters,3 months,Back_end,"Node.js, Java, PHP",PHP,2,3,4,3,2,3,2,2,2
33,33,The Debuggers,5 months,Front_end,HTML,"JavaScript, HTML",4,5,4,3,4,4,1,4,4
34,34,System Architects,2 months,Back_end,"Node.js, Python, Laravel","Node.js, Java",1,2,3,3,1,2,5,1,1
35,35,Global Tech Bridge,3 months,Back_end,"Laravel, PHP","Laravel, Node.js",3,4,3,3,2,3,5,2,2
36,36,Alex Tech Hub,6 months,Database,MySQL,"MySQL, Oracle",5,5,3,5,3,3,4,3,3
37,37,Smart City Coders,3 months,Back_end,"PHP, Node.js","PHP, Laravel, Python",2,2,4,3,2,2,2,2,2
38,38,Innovate Alexandria,5 months,Front_end,CSS,CSS,4,5,4,3,4,4,1,4,4
39,39,Digital Wings,2 months,Back_end,"Laravel, Node.js, Python","Python, Node.js",1,3,3,3,2,2,3,1,2
40,40,Tech For All,4 months,Back_end,PHP,"Node.js, PHP",3,3,4,3,2,4,3,2,3
41,41,Code Miners,5 months,Front_end,Tailwind CSS,"HTML, Tailwind CSS",4,3,4,3,4,4,1,4,4
42,42,The Syntax Club,2 months,Back_end,Laravel,"Laravel, Node.js",1,2,3,3,2,2,3,1,1
43,43,Web Wizards,6 months,Database,"MySQL, Oracle","MySQL, MongoDB",5,4,3,5,3,3,1,3,3
44,44,Software Scholars,3 months,Front_end,"React, JavaScript","Tailwind CSS, React",2,1,3,2,3,3,5,3,3
45,45,Data Driven Society,5 months,Back_end,Node.js,"Node.js, PHP",3,2,5,3,3,3,2,3,3
46,46,Cloud Natives,5 months,Back_end,"PHP, .NET","PHP, .NET",4,2,4,4,3,3,3,3,3
47,47,Tech Makers,4 months,Database,"Oracle, PostgreSQL, MySQL",MySQL,2,3,2,4,2,3,2,1,1
48,48,Dev Community,2 months,Front_end,HTML,"HTML, CSS",1,3,3,2,2,3,3,2,3
49,49,Open Source Egypt,6 months,Back_end,Node.js,Node.js,5,5,5,4,3,4,3,3,3
50,50,Future Devs,3 months,Front_end,"HTML, Tailwind CSS, CSS","Tailwind CSS, JavaScript, CSS",3,3,4,3,3,4,2,3,3
51,51,Code Builders,5 months,Back_end,Python,Python,4,5,4,4,2,3,5,2,3
52,52,Tech Pioneers,4 months,Front_end,"CSS, JavaScript","JavaScript, HTML",2,1,3,2,3,3,4,3,3
53,53,Digital Leaders,6 months,Front_end,React,"React, Tailwind CSS",5,2,5,3,5,5,5,5,5
54,54,Web Craft,2 months,Back_end,"Node.js, Python, PHP","PHP, Node.js",1,2,3,2,1,2,4,1,2
55,55,Software Stars,5 months,Database,"PostgreSQL, MySQL","PostgreSQL, Oracle",3,3,3,4,2,3,3,2,2
56,56,Data Giants,4 months,Front_end,"Tailwind CSS, HTML, JavaScript","JavaScript, HTML, React",2,3,3,3,2,4,5,2,4
57,57,Cloud Masters,5 months,Front_end,"HTML, Tailwind CSS","Tailwind CSS, CSS, React",4,2,5,3,4,4,1,4,4
58,58,Tech Experts,2 months,Database,"MongoDB, PostgreSQL","MongoDB, PostgreSQL",1,2,1,3,1,2,2,1,1
59,59,Dev Solutions,6 months,Front_end,"JavaScript, React, CSS","HTML, CSS",5,3,5,3,4,4,1,4,5
60,60,Open Web Org,5 months,Database,"PostgreSQL, MySQL",PostgreSQL,3,4,3,4,2,3,2,2,2
61,61,Future Systems,5 months,Front_end,JavaScript,"React, JavaScript",4,4,4,3,4,4,2,4,4
62,62,Code Experts,2 months,Database,"MySQL, Oracle, PostgreSQL","MongoDB, PostgreSQL, MySQL",1,1,2,3,1,2,2,1,1
63,63,Tech Innovators,6 months,Front_end,"Tailwind CSS, CSS","CSS, HTML",5,4,5,4,5,5,4,5,5
64,64,Digital Builders,4 months,Database,"PostgreSQL, MySQL","MongoDB, PostgreSQL",2,1,2,3,2,2,2,2,2
65,65,Web Experts,4 months,Database,MySQL,"MySQL, Oracle",3,2,2,3,2,3,2,1,2
66,66,Software Solutions,5 months,Database,MongoDB,"Oracle, MongoDB",4,4,2,5,2,3,3,2,2
67,67,Data Masters,4 months,Back_end,Python,"Node.js, Python",2,2,4,3,2,3,1,2,2
68,68,Cloud Experts,6 months,Database,MySQL,"MySQL, MongoDB",5,4,3,5,3,3,4,3,3
69,69,Tech Scholars,2 months,Back_end,Node.js,"Node.js, Python",1,1,3,2,1,2,1,1,2
70,70,Dev Stars,5 months,Database,MySQL,"MySQL, MongoDB",3,2,3,4,2,3,5,2,2
71,71,Open Logic,5 months,Back_end,Python,"Python, Node.js",4,3,5,4,3,3,4,3,3
72,72,Future Code,4 months,Front_end,HTML,"HTML, CSS",2,2,3,3,3,3,2,3,4
73,73,Code Creators,2 months,Database,Oracle,"Oracle, PostgreSQL",1,1,1,3,1,2,1,1,1
74,74,Tech Masters,6 months,Back_end,"Express, Node.js","PHP, Laravel, Express",5,2,5,5,3,4,4,3,3
75,75,Digital Scholars,5 months,Database,"MongoDB, Oracle, PostgreSQL",PostgreSQL,3,5,2,4,2,3,4,2,2
76,76,Web Stars,5 months,Database,"PostgreSQL, Oracle, MySQL","PostgreSQL, Oracle, MongoDB",4,3,2,4,2,3,4,2,2
77,77,Software Experts,2 months,Database,"Oracle, MongoDB, PostgreSQL","PostgreSQL, Oracle, MySQL",1,1,1,3,1,2,4,1,1
78,78,Data Scholars,6 months,Front_end,React,"React, CSS",5,4,5,3,4,5,1,4,5
79,79,Cloud Logic,4 months,Back_end,"Python, Laravel, PHP",Python,2,3,3,3,2,2,2,2,2
80,80,Tech Logic,5 months,Database,"MongoDB, Oracle","PostgreSQL, MongoDB, Oracle",3,3,3,4,3,3,1,2,2
81,81,Dev Experts,5 months,Back_end,"Node.js, Laravel","Node.js, PHP, Python",4,4,5,4,3,3,4,3,3
82,82,Open Systems,6 months,Front_end,"Tailwind CSS, JavaScript, HTML",JavaScript,5,5,5,4,5,5,3,4,5
83,83,Future Logic,2 months,Front_end,CSS,"HTML, CSS",1,1,3,2,2,3,2,2,3
84,84,Code Logic,3 months,Front_end,React,"React, HTML",2,2,3,3,3,4,1,3,3
85,85,Tech Systems,5 months,Front_end,"Tailwind CSS, CSS, JavaScript","React, Tailwind CSS, CSS",3,3,5,3,3,4,2,3,4
86,86,Digital Logic,5 months,Back_end,Node.js,"Node.js, PHP",4,2,4,4,2,3,2,2,3
87,87,Web Logic,6 months,Front_end,CSS,"CSS, Tailwind CSS",5,2,5,4,5,4,4,4,5
88,88,Software Logic,2 months,Back_end,Laravel,Laravel,1,4,3,3,1,2,3,1,1
89,89,Data Logic,3 months,Database,"PostgreSQL, MongoDB, Oracle","Oracle, MySQL, MongoDB",2,3,2,3,2,3,4,1,1
90,90,Cloud Systems,5 months,Database,"PostgreSQL, MySQL","PostgreSQL, Oracle, MongoDB",3,2,3,5,2,3,3,2,2
91,91,Tech Solutions,2 months,Back_end,"Node.js, Python, Express",Python,1,3,3,3,2,2,1,1,1
92,92,Dev Logic,3 months,Database,PostgreSQL,"PostgreSQL, Oracle",2,2,2,4,1,2,4,1,2
93,93,Open Experts,5 months,Back_end,Node.js,Node.js,3,5,4,4,3,3,4,2,3
94,94,Future Experts,5 months,Front_end,"CSS, Tailwind CSS","React, Tailwind CSS",4,4,5,3,4,4,3,4,4
95,95,Code Solutions,6 months,Database,"Oracle, MongoDB",MongoDB,5,4,3,5,3,4,4,2,3
96,96,Tech Stars,2 months,Back_end,"Laravel, .NET","Laravel, PHP, .NET",1,1,3,3,1,2,3,1,2
97,97,Digital Stars,3 months,Front_end,"JavaScript, React","Tailwind CSS, CSS, React",2,1,4,2,3,4,3,3,3
98,98,Web Solutions,5 months,Front_end,JavaScript,"JavaScript, React",3,3,4,3,4,4,3,4,4
99,99,Software Systems,5 months,Front_end,"React, CSS","CSS, HTML",4,3,4,3,4,4,1,4,4
100,100,Data Systems,6 months,Front_end,"Tailwind CSS, HTML","React, Tailwind CSS",5,3,5,3,4,5,1,4,5
101,101,Tech Final,5 months,Database,"MongoDB, MySQL","Oracle, MongoDB",4,2,2,4,2,3,1,2,2
102,102,Cloud Logic,4 months,Database,Oracle,"Oracle, PostgreSQL",2,1,2,3,2,2,3,2,2
103,103,Tech Logic,6 months,Database,"PostgreSQL, MySQL","MySQL, PostgreSQL",5,5,3,5,3,4,2,2,3
104,104,Dev Experts,2 months,Database,"MySQL, MongoDB, Oracle","MySQL, PostgreSQL, Oracle",1,3,2,3,1,2,3,1,1
105,105,Open Systems,5 months,Back_end,Node.js,"PHP, Node.js",3,3,4,4,2,3,5,2,3
106,106,Future Logic,5 months,Front_end,CSS,"HTML, CSS",4,5,4,3,4,4,2,4,4
107,107,Code Logic,4 months,Database,"PostgreSQL, MongoDB","MySQL, PostgreSQL",2,2,2,4,2,2,3,1,2
108,108,Tech Systems,2 months,Database,"MySQL, PostgreSQL",PostgreSQL,1,1,2,3,1,2,4,1,1
109,109,Digital Logic,6 months,Back_end,"Laravel, Express, Python","PHP, Python",5,5,5,4,3,4,2,3,4
110,110,Web Logic,5 months,Database,"MongoDB, MySQL, Oracle","MySQL, PostgreSQL, Oracle",3,3,3,4,3,3,1,2,2
111,111,Software Logic,5 months,Database,"Oracle, PostgreSQL","MySQL, PostgreSQL",4,2,2,4,3,3,2,2,2
112,112,Data Logic,2 months,Front_end,"JavaScript, HTML, CSS","HTML, React",1,2,3,2,2,3,2,2,3
113,113,Cloud Systems,6 months,Database,"Oracle, PostgreSQL",Oracle,5,3,3,5,3,3,5,3,3
114,114,Tech Solutions,4 months,Back_end,Laravel,"Laravel, Python",2,1,4,3,2,2,4,1,2
115,115,Dev Logic,5 months,Back_end,"Laravel, Python, Node.js","PHP, Python",3,4,4,4,2,3,3,2,3
116,116,Open Experts,5 months,Back_end,"Node.js, Laravel","PHP, Laravel, Node.js",4,5,5,4,3,3,4,3,3
117,117,Future Experts,4 months,Front_end,React,"CSS, React",2,1,3,3,3,3,4,3,3
118,118,Code Solutions,6 months,Database,PostgreSQL,"PostgreSQL, MongoDB",5,4,3,5,3,3,2,3,3
119,119,Tech Stars,2 months,Back_end,"Python, PHP, .NET",PHP,1,2,3,3,2,2,4,1,1
120,120,Digital Stars,5 months,Back_end,Laravel,"Laravel, Express",3,3,4,4,2,4,3,2,3
121,121,Web Solutions,5 months,Database,"Oracle, MongoDB, MySQL","PostgreSQL, Oracle",4,3,3,4,2,3,4,2,2
122,122,Software Systems,2 months,Database,"MongoDB, Oracle","PostgreSQL, MongoDB, Oracle",1,1,2,3,1,2,4,1,1
123,123,Data Systems,6 months,Front_end,"Tailwind CSS, JavaScript","React, JavaScript",5,4,5,4,4,5,2,4,5
124,124,The Code Base,4 months,Back_end,"Python, Node.js",Node.js,2,2,4,3,2,3,1,2,2
125,125,Tech Tree Org,5 months,Database,"MySQL, PostgreSQL","MongoDB, MySQL, PostgreSQL",3,3,3,4,2,3,2,2,2
126,126,Digital Roots,2 months,Front_end,"React, JavaScript, Tailwind CSS","Tailwind CSS, JavaScript, HTML",1,2,3,2,2,3,3,2,2
127,127,Web Branch,4 months,Back_end,Python,Python,2,3,4,4,2,3,4,2,2
128,128,Software Stem,5 months,Back_end,Python,".NET, Python",3,2,4,4,2,4,4,2,3
129,129,Data Leaf,5 months,Front_end,"HTML, Tailwind CSS","JavaScript, CSS, Tailwind CSS",4,3,5,3,4,4,1,4,4
130,130,Cloud Seed,6 months,Front_end,"HTML, Tailwind CSS","Tailwind CSS, JavaScript, React",5,4,5,4,4,5,3,4,5
131,131,Tech Harvest,2 months,Database,"MongoDB, MySQL","Oracle, MySQL",1,2,2,3,1,2,3,1,1
132,132,Dev Forest,3 months,Database,Oracle,"Oracle, MySQL",2,1,2,4,2,3,2,1,2
133,133,Open Garden,5 months,Database,MongoDB,"MongoDB, PostgreSQL",3,2,2,4,3,3,1,2,2
134,134,Future Bloom,5 months,Front_end,"React, CSS, JavaScript","React, Tailwind CSS",4,4,5,3,4,4,2,3,4
135,135,Code Sprout,6 months,Database,"Oracle, MongoDB","MySQL, PostgreSQL, Oracle",5,2,3,5,3,3,5,3,3
136,136,Tech Sapling,5 months,Back_end,Node.js,"PHP, Node.js",4,3,5,4,2,4,2,2,3
137,137,Digital Branch,4 months,Back_end,Node.js,"Node.js, PHP",2,2,4,3,2,2,3,2,2
138,138,Web Root,2 months,Back_end,"Laravel, PHP","PHP, Node.js, .NET",1,2,3,3,1,2,4,1,2
139,139,Software Growth,6 months,Database,"PostgreSQL, Oracle, MongoDB",MongoDB,5,4,3,5,3,3,2,3,3
140,140,Data Bloom,5 months,Back_end,"Python, Node.js","PHP, Node.js",3,2,4,4,3,3,5,3,3
141,141,Cloud Field,5 months,Front_end,"CSS, JavaScript, HTML",HTML,4,2,4,3,3,4,5,3,4
142,142,Tech Meadow,4 months,Database,PostgreSQL,"PostgreSQL, MongoDB",2,2,2,4,2,2,2,1,2
143,143,Dev Plain,6 months,Back_end,"Python, Laravel","Python, Laravel",5,5,5,5,3,4,3,3,3
144,144,Open Valley,2 months,Database,"MySQL, PostgreSQL","Oracle, PostgreSQL",1,1,2,3,1,2,2,1,1
145,145,Future Peak,5 months,Back_end,"Python, .NET, Laravel","Node.js, Laravel, .NET",3,4,4,4,3,3,2,3,3
146,146,Code Summit,5 months,Back_end,Python,"Python, PHP",4,1,4,4,2,3,1,2,3
147,147,Tech Ridge,2 months,Back_end,"Node.js, Laravel","Laravel, PHP, Node.js",1,2,3,3,1,2,3,1,2
148,148,Digital Slope,6 months,Front_end,"React, JavaScript","HTML, CSS, JavaScript",5,3,5,4,4,5,3,4,5
149,149,Web Coast,4 months,Back_end,"Laravel, .NET","Laravel, .NET, PHP",2,2,4,3,2,3,1,2,2
150,150,Software Tide,5 months,Database,PostgreSQL,"PostgreSQL, MySQL",3,3,2,5,2,3,2,1,2
151,151,Data Wave,2 months,Database,"MySQL, PostgreSQL","Oracle, MongoDB, MySQL",1,1,1,3,1,2,5,1,1
152,152,Cloud Stream,4 months,Back_end,Python,"Python, Laravel",2,2,4,3,2,2,2,2,2
153,153,Tech River,5 months,Front_end,"React, HTML, Tailwind CSS","Tailwind CSS, CSS",3,4,5,3,4,4,1,4,4
154,154,Dev Lake,5 months,Database,"Oracle, PostgreSQL","MySQL, Oracle",4,2,3,5,2,3,3,2,2
155,155,Open Ocean,6 months,Front_end,"Tailwind CSS, CSS, JavaScript",JavaScript,5,5,5,4,4,5,5,4,5
156,156,Future Sea,5 months,Front_end,"HTML, React, Tailwind CSS","HTML, CSS",4,3,4,3,3,4,2,3,4
157,157,Code Shore,2 months,Database,"MySQL, PostgreSQL","Oracle, PostgreSQL",1,2,1,3,1,2,3,1,1
158,158,Tech Sand,6 months,Back_end,"Python, Laravel, Node.js","Node.js, Laravel",5,5,5,4,3,4,4,3,3
159,159,Digital Island,4 months,Front_end,"CSS, React, HTML","Tailwind CSS, CSS, HTML",2,1,4,3,3,3,2,3,4
160,160,Web Port,5 months,Front_end,"React, JavaScript","JavaScript, HTML, CSS",3,2,4,3,4,4,4,4,4
161,161,Software Anchor,5 months,Back_end,"Python, Laravel, PHP","Express, Laravel",4,4,4,4,2,3,2,2,3
162,162,Data Ship,4 months,Back_end,"Python, .NET","Python, Node.js, .NET",2,2,4,3,2,3,3,2,2
163,163,Cloud Sail,2 months,Back_end,"Node.js, Laravel, PHP","PHP, Python",1,2,3,2,1,2,3,1,1
164,164,Tech Boat,6 months,Front_end,"React, Tailwind CSS, CSS","CSS, React, HTML",5,4,5,4,5,4,3,5,5
165,165,Dev Fleet,5 months,Back_end,Laravel,"Laravel, .NET",3,3,4,4,3,3,1,3,3
166,166,Open Vessel,5 months,Database,"Oracle, MySQL, PostgreSQL","MongoDB, MySQL",4,3,2,4,2,3,4,2,2
167,167,Future Craft,2 months,Front_end,"JavaScript, Tailwind CSS","Tailwind CSS, React, HTML",1,2,3,2,2,3,2,2,3
168,168,Code Ship,6 months,Back_end,"Laravel, PHP","PHP, Node.js, Python",5,4,5,4,3,4,2,3,3
169,169,Tech Wave,4 months,Front_end,"JavaScript, CSS, Tailwind CSS","React, JavaScript",2,2,3,3,3,3,1,3,3
170,170,Digital Tide,5 months,Database,"MySQL, MongoDB, Oracle","PostgreSQL, MySQL, Oracle",3,2,3,5,2,3,3,2,2
171,171,Web Flow,5 months,Database,"MySQL, MongoDB","PostgreSQL, MongoDB",4,3,3,4,2,3,3,2,2
172,172,Software Stream,6 months,Back_end,Node.js,"Node.js, Laravel",5,4,5,5,3,4,1,3,4
173,173,Data Current,2 months,Back_end,PHP,"PHP, Laravel",1,2,3,2,1,2,3,1,2
174,174,Cloud Surge,3 months,Back_end,Laravel,"Laravel, Python",2,2,4,3,2,2,2,1,2
175,175,Tech Pulse,5 months,Back_end,"PHP, Laravel, Node.js","Java, Node.js, PHP",3,3,4,4,2,3,3,2,3
176,176,Dev Heart,5 months,Back_end,"Python, Java","Laravel, Python, Node.js",4,5,4,4,3,3,2,3,3
177,177,Open Soul,6 months,Back_end,"Node.js, .NET","PHP, Node.js, .NET",5,5,5,5,3,4,3,3,3
178,178,Future Mind,2 months,Front_end,"Tailwind CSS, JavaScript","JavaScript, Tailwind CSS, HTML",1,2,3,2,2,3,2,2,2
179,179,Code Brain,3 months,Database,"Oracle, MongoDB, MySQL","MySQL, PostgreSQL, MongoDB",2,3,2,3,1,3,5,1,1
180,180,Tech Nerve,5 months,Front_end,"CSS, JavaScript",CSS,3,4,4,3,4,4,1,3,4
181,181,Digital Cell,2 months,Front_end,"JavaScript, CSS, Tailwind CSS","HTML, CSS",1,1,3,2,2,3,2,2,2
182,182,Web Atom,3 months,Back_end,"PHP, Python","Node.js, PHP, Java",2,2,3,3,2,3,1,2,2
183,183,Software Core,5 months,Front_end,"React, CSS",CSS,3,2,4,3,4,4,5,4,4
184,184,Data Center,5 months,Database,"PostgreSQL, Oracle, MongoDB",PostgreSQL,4,3,2,4,2,3,4,1,2
185,185,Cloud Point,6 months,Database,"PostgreSQL, Oracle","MySQL, MongoDB, PostgreSQL",5,3,3,5,3,3,2,3,3
186,186,Tech Spot,2 months,Front_end,"HTML, CSS","HTML, CSS, React",1,3,3,2,2,3,3,2,3
187,187,Dev Site,3 months,Database,PostgreSQL,"PostgreSQL, MySQL",2,2,2,4,1,2,4,1,1
188,188,Open Place,5 months,Back_end,"Python, Laravel, Express","PHP, Node.js, Laravel",3,2,5,4,2,3,3,2,3
189,189,Future Zone,5 months,Front_end,Tailwind CSS,"Tailwind CSS, JavaScript",4,4,5,3,4,4,3,4,4
190,190,Code Area,6 months,Database,Oracle,"Oracle, PostgreSQL",5,2,3,5,3,4,2,3,3
191,191,Tech Region,5 months,Back_end,Node.js,"PHP, Node.js",4,4,4,4,2,3,1,2,3
192,192,Digital Land,4 months,Front_end,"HTML, Tailwind CSS",Tailwind CSS,2,4,4,2,3,3,4,3,3
193,193,Web World,6 months,Database,Oracle,"PostgreSQL, Oracle",5,2,3,5,3,3,5,3,3
194,194,Software Galaxy,2 months,Database,"Oracle, PostgreSQL, MySQL","MySQL, MongoDB",1,2,1,3,1,2,3,1,1
195,195,Data Universe,5 months,Back_end,"Laravel, Python, PHP","Python, Node.js, Laravel",3,4,5,4,3,4,2,3,3
196,196,Cloud Cosmos,5 months,Database,"MongoDB, Oracle","PostgreSQL, Oracle",4,2,2,4,2,3,2,2,2
197,197,Tech Space,4 months,Front_end,React,"React, CSS",2,3,4,2,2,3,4,2,3
198,198,Dev Void,2 months,Front_end,"CSS, HTML","HTML, CSS, Tailwind CSS",1,3,3,2,2,3,4,2,3
199,199,Open Path,6 months,Back_end,Node.js,"Node.js, PHP",5,4,5,5,3,4,4,3,3
200,200,Future Way,5 months,Database,MongoDB,"PostgreSQL, MongoDB",3,3,3,4,2,3,4,2,2
201,201,(201-300),5 months,Database,"MySQL, MongoDB, Oracle","PostgreSQL, MySQL",4,3,3,4,2,3,3,2,2
202,202,Code Route,2 months,Front_end,"HTML, React",HTML,1,2,3,2,2,3,1,2,3
203,203,Tech Lane,6 months,Back_end,"Node.js, Python",Node.js,5,5,5,5,3,4,2,3,4
204,204,Digital Street,4 months,Database,"MySQL, Oracle","Oracle, PostgreSQL, MySQL",2,2,2,4,1,2,4,1,2
205,205,Web Avenue,5 months,Database,"MySQL, MongoDB, PostgreSQL","MySQL, MongoDB",3,3,2,4,3,3,3,3,2
206,206,Software Drive,5 months,Database,"MongoDB, PostgreSQL, MySQL","PostgreSQL, MongoDB, MySQL",4,3,3,4,2,3,1,2,2
207,207,Data Plaza,4 months,Back_end,Laravel,"Laravel, PHP",2,2,4,3,2,2,1,2,2
208,208,Cloud Square,6 months,Back_end,"Laravel, PHP","Python, Laravel",5,4,5,4,3,4,3,3,3
209,209,Tech Park,2 months,Database,MongoDB,"PostgreSQL, MongoDB",1,3,1,3,1,2,1,1,1
210,210,Dev Yard,5 months,Front_end,"Tailwind CSS, JavaScript, CSS","Tailwind CSS, React, HTML",3,2,4,3,4,4,2,4,4
211,211,Open Field,5 months,Database,"MySQL, PostgreSQL, Oracle","Oracle, MySQL",4,4,2,5,2,3,3,2,2
212,212,Future Ground,2 months,Back_end,"Python, Laravel","Laravel, PHP",1,1,3,3,2,2,3,2,2
213,213,Code Earth,6 months,Database,"Oracle, MongoDB","PostgreSQL, MongoDB, MySQL",5,3,3,5,3,4,3,3,3
214,214,Tech Soil,4 months,Back_end,"Laravel, PHP, Java",PHP,2,3,4,3,2,3,2,2,2
215,215,Digital Rock,5 months,Back_end,"PHP, Python","Node.js, PHP",3,4,5,4,3,3,4,2,3
216,216,Web Stone,2 months,Database,"PostgreSQL, Oracle, MySQL","PostgreSQL, Oracle",1,2,1,3,1,2,2,1,1
217,217,Software Brick,4 months,Front_end,"HTML, JavaScript","JavaScript, Tailwind CSS, HTML",2,4,4,2,3,4,2,3,3
218,218,Data Block,5 months,Front_end,"Tailwind CSS, CSS, HTML","React, CSS, HTML",3,4,5,3,4,4,4,4,4
219,219,Cloud Cube,5 months,Back_end,"Node.js, Python",Python,4,4,4,4,2,4,3,2,3
220,220,Tech Sphere,6 months,Back_end,"Node.js, Laravel, .NET",".NET, PHP, Python",5,5,5,5,3,4,4,3,4
221,221,Dev Circle,2 months,Database,"PostgreSQL, MySQL, Oracle","PostgreSQL, MongoDB",1,1,2,3,1,2,3,1,1
222,222,Open Oval,3 months,Back_end,"PHP, Node.js",Node.js,2,2,4,3,2,3,3,1,2
223,223,Future Line,5 months,Front_end,"HTML, CSS","HTML, CSS, Tailwind CSS",3,2,4,3,4,4,1,4,4
224,224,Code Point,5 months,Database,"Oracle, MongoDB","MongoDB, Oracle",4,5,3,5,2,3,2,1,2
225,225,Tech Dot,6 months,Front_end,"JavaScript, HTML","CSS, JavaScript",5,4,5,4,4,4,2,4,5
226,226,Digital Pixel,5 months,Database,"MySQL, PostgreSQL, Oracle","Oracle, PostgreSQL",4,3,2,5,2,3,2,2,2
227,227,Web Bit,4 months,Front_end,"React, Tailwind CSS","JavaScript, CSS, React",2,2,4,2,3,4,5,3,3
228,228,Software Byte,2 months,Back_end,"Laravel, PHP","Java, Laravel",1,1,3,3,1,2,2,1,1
229,229,Data Node,6 months,Back_end,"Python, PHP, Laravel","Python, PHP",5,5,5,5,3,4,4,3,3
230,230,Cloud Link,5 months,Back_end,Node.js,"Node.js, .NET",3,3,4,4,3,3,3,3,3
231,231,Tech Wire,5 months,Front_end,"JavaScript, Tailwind CSS","HTML, Tailwind CSS",4,4,4,3,4,4,4,4,4
232,232,Dev Cable,4 months,Back_end,"Laravel, Node.js, PHP","PHP, Node.js",2,3,4,3,2,2,3,2,2
